2017 Data:
AccountsPayableCurrent: 25309000000
AccountsPayableCurrent: 34616000000
AccountsReceivableNetCurrent: 8339000000
AccountsReceivableNetCurrent: 13164000000
AccruedLiabilitiesForUnredeeemedGiftCards: 2400000000
AccruedLiabilitiesForUnredeeemedGiftCards: 3000000000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment: 13327000000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment: 19707000000
AccumulatedOtherComprehensiveIncomeLossNetOfTax: -985000000
AccumulatedOtherComprehensiveIncomeLossNetOfTax: -484000000
AdditionalPaidInCapital: 17186000000
AdditionalPaidInCapital: 21389000000
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation: 119000000
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation: 829000000
AllocatedShareBasedCompensationExpense: 2119000000
AllocatedShareBasedCompensationExpense: 2975000000
AllocatedShareBasedCompensationExpense: 4215000000
AllowanceForDoubtfulAccountsReceivableCurrent: 189000000
AllowanceForDoubtfulAccountsReceivableCurrent: 237000000
AllowanceForDoubtfulAccountsReceivableCurrent: 348000000
AllowanceForDoubtfulAccountsReceivableWriteOffs: 290000000
AllowanceForDoubtfulAccountsReceivableWriteOffs: 403000000
AllowanceForDoubtfulAccountsReceivableWriteOffs: 515000000
AmortizationOfIntangibleAssets: 270000000
AmortizationOfIntangibleAssets: 287000000
AmortizationOfIntangibleAssets: 366000000
Assets: 64747000000
Assets: 83402000000
Assets: 131310000000
AssetsCurrent: 45781000000
AssetsCurrent: 60197000000
AvailableForSaleDebtSecuritiesAmortizedCostBasis: 22319000000
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsAmortizedCost: 302000000
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsFairValue: 300000000
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsAmortizedCost: 4149000000
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue: 4129000000
AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsAmortizedCost: 575000000
AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsFairValue: 570000000
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearAmortizedCost: 17293000000
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue: 17287000000
AvailableForSaleSecuritiesDebtSecurities: 22286000000
AvailableForSaleSecuritiesGrossRealizedGains: 2000000
AvailableForSaleSecuritiesGrossRealizedGains: 3000000
AvailableForSaleSecuritiesGrossRealizedGains: 5000000
AvailableForSaleSecuritiesGrossRealizedLosses: 7000000
AvailableForSaleSecuritiesGrossRealizedLosses: 11000000
AvailableForSaleSecuritiesGrossRealizedLosses: 11000000
CapitalizedComputerSoftwareAdditions: 642000000
CapitalizedComputerSoftwareAdditions: 511000000
CapitalizedComputerSoftwareAdditions: 395000000
CapitalizedComputerSoftwareAmortization1: 635000000
CapitalizedComputerSoftwareAmortization1: 634000000
CapitalizedComputerSoftwareAmortization1: 545000000
CapitalizedComputerSoftwareGross: 1400000000
CapitalizedComputerSoftwareGross: 1100000000
CapitalLeasedAssetsGross: 17000000000
CapitalLeasedAssetsGross: 26400000000
CapitalLeaseObligationsCurrent: 4000000000
CapitalLeaseObligationsCurrent: 5839000000
CapitalLeaseObligationsIncurred: 4717000000
CapitalLeaseObligationsIncurred: 5704000000
CapitalLeaseObligationsIncurred: 9637000000
CapitalLeaseObligationsNoncurrent: 5080000000
CapitalLeaseObligationsNoncurrent: 8438000000
CapitalLeasesFutureMinimumPaymentsDue: 14811000000
CapitalLeasesFutureMinimumPaymentsDueCurrent: 6084000000
CapitalLeasesFutureMinimumPaymentsDueInFiveYears: 262000000
CapitalLeasesFutureMinimumPaymentsDueInFourYears: 557000000
CapitalLeasesFutureMinimumPaymentsDueInThreeYears: 2590000000
CapitalLeasesFutureMinimumPaymentsDueInTwoYears: 4788000000
CapitalLeasesFutureMinimumPaymentsDueThereafter: 530000000
CapitalLeasesFutureMinimumPaymentsInterestIncludedInPayments: 534000000
CapitalLeasesFutureMinimumPaymentsNetMinimumPayments1: 14811000000
CapitalLeasesFutureMinimumPaymentsPresentValueOfNetMinimumPayments: 14277000000
CapitalLeasesIncomeStatementAmortizationExpense: 2700000000
CapitalLeasesIncomeStatementAmortizationExpense: 3800000000
CapitalLeasesIncomeStatementAmortizationExpense: 5400000000
CapitalLeasesLesseeBalanceSheetAssetsByMajorClassAccumulatedDeprecation: 8500000000
CapitalLeasesLesseeBalanceSheetAssetsByMajorClassAccumulatedDeprecation: 13400000000
CashAndCashEquivalentsAtCarryingValue: 14557000000
CashAndCashEquivalentsAtCarryingValue: 15890000000
CashAndCashEquivalentsAtCarryingValue: 19334000000
CashAndCashEquivalentsAtCarryingValue: 20522000000
CashAndCashEquivalentsPeriodIncreaseDecrease: 1333000000
CashAndCashEquivalentsPeriodIncreaseDecrease: 3444000000
CashAndCashEquivalentsPeriodIncreaseDecrease: 1188000000
CommonStockValue: 5000000
CommonStockValue: 5000000
ComprehensiveIncomeNetOfTax: 384000000
ComprehensiveIncomeNetOfTax: 2109000000
ComprehensiveIncomeNetOfTax: 3534000000
ContractualObligation: 118205000000
ContractualObligationDueAfterFifthYear: 60910000000
ContractualObligationDueInFifthYear: 7957000000
ContractualObligationDueInFourthYear: 8516000000
ContractualObligationDueInNextTwelveMonths: 15034000000
ContractualObligationDueInSecondYear: 14435000000
ContractualObligationDueInThirdYear: 11353000000
CostOfGoodsAndServicesSold: 71651000000
CostOfGoodsAndServicesSold: 88265000000
CostOfGoodsAndServicesSold: 111934000000
CostsAndExpenses: 104773000000
CostsAndExpenses: 131801000000
CostsAndExpenses: 173760000000
CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption: 687000000
CurrentFederalTaxExpenseBenefit: 215000000
CurrentFederalTaxExpenseBenefit: 1136000000
CurrentFederalTaxExpenseBenefit: -137000000
CurrentForeignTaxExpenseBenefit: 417000000
CurrentForeignTaxExpenseBenefit: 327000000
CurrentForeignTaxExpenseBenefit: 724000000
CurrentIncomeTaxExpenseBenefit: 869000000
CurrentIncomeTaxExpenseBenefit: 1671000000
CurrentIncomeTaxExpenseBenefit: 798000000
CurrentStateAndLocalTaxExpenseBenefit: 237000000
CurrentStateAndLocalTaxExpenseBenefit: 208000000
CurrentStateAndLocalTaxExpenseBenefit: 211000000
DebtInstrumentCarryingAmount: 7782000000
DebtInstrumentCarryingAmount: 24842000000
DeferredFederalIncomeTaxExpenseBenefit: 473000000
DeferredFederalIncomeTaxExpenseBenefit: 116000000
DeferredFederalIncomeTaxExpenseBenefit: -202000000
DeferredForeignIncomeTaxExpenseBenefit: -221000000
DeferredForeignIncomeTaxExpenseBenefit: -331000000
DeferredForeignIncomeTaxExpenseBenefit: 199000000
DeferredIncomeTaxExpenseBenefit: 81000000
DeferredIncomeTaxExpenseBenefit: -246000000
DeferredIncomeTaxExpenseBenefit: -29000000
DeferredIncomeTaxLiabilitiesNet: 392000000
DeferredIncomeTaxLiabilitiesNet: 990000000
DeferredRevenueCurrent: 4768000000
DeferredRevenueCurrent: 5097000000
DeferredRevenueNoncurrent: 499000000
DeferredRevenueNoncurrent: 1000000000
DeferredRevenueRevenueRecognized1: 10000000000
DeferredRevenueRevenueRecognized1: 14300000000
DeferredStateAndLocalIncomeTaxExpenseBenefit: -171000000
DeferredStateAndLocalIncomeTaxExpenseBenefit: -31000000
DeferredStateAndLocalIncomeTaxExpenseBenefit: -26000000
DeferredTaxAssetsDeferredIncome: 330000000
DeferredTaxAssetsDeferredIncome: 349000000
DeferredTaxAssetsGross: 4086000000
DeferredTaxAssetsGross: 5498000000
DeferredTaxAssetsInvestments: 66000000
DeferredTaxAssetsInvestments: 35000000
DeferredTaxAssetsLiabilitiesNet: 454000000
DeferredTaxAssetsNet: 3074000000
DeferredTaxAssetsNet: 2960000000
DeferredTaxAssetsOperatingLossCarryforwardsDomestic: 198000000
DeferredTaxAssetsOperatingLossCarryforwardsDomestic: 211000000
DeferredTaxAssetsOperatingLossCarryforwardsForeign: 1062000000
DeferredTaxAssetsOperatingLossCarryforwardsForeign: 2149000000
DeferredTaxAssetsOther: 171000000
DeferredTaxAssetsOther: 167000000
DeferredTaxAssetsPropertyPlantAndEquipment: 179000000
DeferredTaxAssetsPropertyPlantAndEquipment: 279000000
DeferredTaxAssetsTaxCreditCarryforwards: 39000000
DeferredTaxAssetsTaxCreditCarryforwards: 381000000
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost: 1073000000
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost: 1026000000
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals: 968000000
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals: 901000000
DeferredTaxAssetsValuationAllowance: 1012000000
DeferredTaxAssetsValuationAllowance: 2538000000
DeferredTaxLiabilities: 197000000
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets: 226000000
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets: 531000000
DeferredTaxLiabilitiesOther: 62000000
DeferredTaxLiabilitiesOther: 58000000
DeferredTaxLiabilitiesPropertyPlantAndEquipment: 2332000000
DeferredTaxLiabilitiesPropertyPlantAndEquipment: 2568000000
Depreciation: 4949000000
Depreciation: 6362000000
Depreciation: 8831000000
DepreciationDepletionAndAmortization: 6281000000
DepreciationDepletionAndAmortization: 8116000000
DepreciationDepletionAndAmortization: 11478000000
EffectOfExchangeRateOnCashAndCashEquivalents: -374000000
EffectOfExchangeRateOnCashAndCashEquivalents: -212000000
EffectOfExchangeRateOnCashAndCashEquivalents: 713000000
EmployeeServiceShareBasedCompensationAllocationOfRecognizedPeriodCostsCapitalizedAmount: 114000000
EmployeeServiceShareBasedCompensationAllocationOfRecognizedPeriodCostsCapitalizedAmount: 94000000
EmployeeServiceShareBasedCompensationAllocationOfRecognizedPeriodCostsCapitalizedAmount: 84000000
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized: 6400000000
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense: 593000000
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense: 907000000
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense: 860000000
FiniteLivedIntangibleAssetsAccumulatedAmortization: 1046000000
FiniteLivedIntangibleAssetsAccumulatedAmortization: 1051000000
FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive: 1998000000
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths: 377000000
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive: 178000000
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour: 214000000
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree: 258000000
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo: 337000000
FiniteLivedIntangibleAssetsNet: 3362000000
ForeignCurrencyTransactionGainLossBeforeTax: -266000000
ForeignCurrencyTransactionGainLossBeforeTax: 21000000
ForeignCurrencyTransactionGainLossBeforeTax: 247000000
GeneralAndAdministrativeExpense: 1747000000
GeneralAndAdministrativeExpense: 2432000000
GeneralAndAdministrativeExpense: 3674000000
Goodwill: 3759000000
Goodwill: 3784000000
Goodwill: 13350000000
GoodwillAcquiredDuringPeriod: 60000000
GoodwillAcquiredDuringPeriod: 9501000000
GoodwillImpairmentLoss: 0
GoodwillTranslationAndPurchaseAccountingAdjustments: -35000000
GoodwillTranslationAndPurchaseAccountingAdjustments: 65000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic: 2186000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic: 4551000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic: 5630000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign: -618000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign: -659000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign: -1824000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments: 1568000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments: 1056000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments: 1179000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments: 491000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments: 3892000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments: 1166000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments: 953000000
